log_id,timestamp,machine_id,technician,description,downtime_hours,resolved
LOG_0001,2024-01-01 00:00:00,CNC_Mill_01,Anna Schmidt,Machine vibration exceeded threshold. Bearing replacement required.,0.3,False
LOG_0002,2024-01-02 19:12:00,Conveyor_Motor_03,Hans Mueller,Oil level low. Topped up. Next service in 200h.,0.1,True
LOG_0003,2024-01-04 14:24:00,CNC_Mill_01,Hans Mueller,Gearbox temperature high. Coolant flow checked and adjusted.,3.3,True
LOG_0004,2024-01-06 09:36:00,Hydraulic_Press_02,Anna Schmidt,Machine vibration exceeded threshold. Bearing replacement required.,2.5,False
LOG_0005,2024-01-08 04:48:00,CNC_Mill_01,Karl Weber,Vibration spike on spindle. Realignment performed.,1.4,True
LOG_0006,2024-01-10 00:00:00,CNC_Mill_01,Hans Mueller,Machine vibration exceeded threshold. Bearing replacement required.,0.1,False
LOG_0007,2024-01-11 19:12:00,Conveyor_Motor_03,Lisa Fischer,Oil level low. Topped up. Next service in 200h.,1.4,True
LOG_0008,2024-01-13 14:24:00,CNC_Mill_01,Karl Weber,Filter clogged. Replaced. Pressure restored to normal.,0.0,True
LOG_0009,2024-01-15 09:36:00,CNC_Mill_01,Hans Mueller,Temp sensor reading 92C. Cooling fan inspection needed.,1.1,True
LOG_0010,2024-01-17 04:48:00,Conveyor_Motor_03,Hans Mueller,Oil level low. Topped up. Next service in 200h.,3.1,True
LOG_0011,2024-01-19 00:00:00,CNC_Mill_01,Lisa Fischer,Filter clogged. Replaced. Pressure restored to normal.,4.7,True
LOG_0012,2024-01-20 19:12:00,CNC_Mill_01,Karl Weber,Hydraulic pressure drop detected. Seal inspection scheduled.,0.5,True
LOG_0013,2024-01-22 14:24:00,Hydraulic_Press_02,Karl Weber,Unusual noise from motor. Lubrication applied. Monitor closely.,0.4,True
LOG_0014,2024-01-24 09:36:00,CNC_Mill_01,Lisa Fischer,Filter clogged. Replaced. Pressure restored to normal.,3.2,True
LOG_0015,2024-01-26 04:48:00,CNC_Mill_01,Hans Mueller,Temp sensor reading 92C. Cooling fan inspection needed.,2.5,False
LOG_0016,2024-01-28 00:00:00,Hydraulic_Press_02,Lisa Fischer,Oil level low. Topped up. Next service in 200h.,3.5,True
LOG_0017,2024-01-29 19:12:00,Hydraulic_Press_02,Anna Schmidt,Emergency stop triggered. Operator reported burning smell.,1.5,True
LOG_0018,2024-01-31 14:24:00,CNC_Mill_01,Anna Schmidt,Temp sensor reading 92C. Cooling fan inspection needed.,8.2,True
LOG_0019,2024-02-02 09:36:00,CNC_Mill_01,Karl Weber,Machine vibration exceeded threshold. Bearing replacement required.,0.0,True
LOG_0020,2024-02-04 04:48:00,CNC_Mill_01,Karl Weber,Scheduled maintenance completed. All systems nominal.,1.4,True
LOG_0021,2024-02-06 00:00:00,Hydraulic_Press_02,Anna Schmidt,Oil level low. Topped up. Next service in 200h.,0.4,True
LOG_0022,2024-02-07 19:12:00,CNC_Mill_01,Karl Weber,Vibration spike on spindle. Realignment performed.,4.0,True
LOG_0023,2024-02-09 14:24:00,Conveyor_Motor_03,Anna Schmidt,Gearbox temperature high. Coolant flow checked and adjusted.,2.8,True
LOG_0024,2024-02-11 09:36:00,CNC_Mill_01,Lisa Fischer,Oil level low. Topped up. Next service in 200h.,1.5,True
LOG_0025,2024-02-13 04:48:00,CNC_Mill_01,Anna Schmidt,Scheduled maintenance completed. All systems nominal.,0.4,True
